nome;link
Café Brasil 869 – Coincidentia Oppositorum;https://portalcafebrasil.com.br/cafe-brasil-869-coincidentia-oppositorum/
Café Brasil 868 – Siência, siência, siência;https://portalcafebrasil.com.br/cafe-brasil-868-siencia-siencia-siencia/
Café Brasil 867 – Pós-ideia – Revisitado;https://portalcafebrasil.com.br/cafe-brasil-867-pos-ideia-revisitado/
Café Brasil 866 – O manicômio tributário;https://portalcafebrasil.com.br/cafe-brasil-866-o-manicomio-tributario/
Café Brasil 865 – Uma pitada de estoicismo;https://portalcafebrasil.com.br/cafe-brasil-865-uma-pitada-de-estoicismo/
Café Brasil 864 – A distopia que nos aguarda;https://portalcafebrasil.com.br/cafe-brasil-864-a-distopia-que-nos-aguarda/
Café Brasil 863 – Gaslighting;https://portalcafebrasil.com.br/cafe-brasil-863-gaslighting/
Café Brasil 862 – Conversa paralela;https://portalcafebrasil.com.br/cafe-brasil-862-conversa-paralela/
Café Brasil 861 – Vá com tudo;https://portalcafebrasil.com.br/cafe-brasil-861-va-com-tudo/
Café Brasil 860 – Liberdade, igualdade, fraternidade;https://portalcafebrasil.com.br/cafe-brasil-860-liberdade-igualdade-fraternidade/
Café Brasil 859 – OesteCast;https://portalcafebrasil.com.br/cafe-brasil-859-oestecast/
Café Brasil 858 – Um velho safado;https://portalcafebrasil.com.br/cafe-brasil-858-um-velho-safado/
Café Brasil 857 – Independência ou morte;https://portalcafebrasil.com.br/cafe-brasil-857-independencia-ou-morte/
Café Brasil 856 – Tá na hora do Café Com leite;https://portalcafebrasil.com.br/cafe-brasil-856-ta-na-hora-do-cafe-com-leite/
Café Brasil 855 – Alguém me avisou;https://portalcafebrasil.com.br/cafe-brasil-855-alguem-me-avisou/
Café Brasil 854 – O Otimismo Trágico;https://portalcafebrasil.com.br/cafe-brasil-854-o-otimismo-tragico/
Café Brasil 853 – É Natal Revisitado;https://portalcafebrasil.com.br/cafe-brasil-853-e-natal-revisitado/
Café Brasil 852 – Os donos das vendas;https://portalcafebrasil.com.br/cafe-brasil-852-os-donos-das-vendas/
Café Brasil 851 – O abandono silencioso;https://portalcafebrasil.com.br/cafe-brasil-851-o-abandono-silencioso/
Café Brasil 850 – Vida caótica;https://portalcafebrasil.com.br/cafe-brasil-850-vida-caotica/
Café Brasil 849 – A cegueira da escolha;https://portalcafebrasil.com.br/cafe-brasil-849-a-cegueira-da-escolha/
Café Brasil 848 – Meu nome é Gal.;https://portalcafebrasil.com.br/cafe-brasil-848-meu-nome-e-gal/
Café Brasil 847 – Dissonância Cognitiva – Revisitado;https://portalcafebrasil.com.br/cafe-brasil-847-dissonancia-cognitiva-revisitado/
Café Brasil 846 – Sina;https://portalcafebrasil.com.br/cafe-brasil-846-sina/
Café Brasil 845 – Merdades e Ventiras live;https://portalcafebrasil.com.br/cafe-brasil-845-merdades-e-ventiras-live/
Café Brasil 844 – Narrativas moldam o mundo;https://portalcafebrasil.com.br/cafe-brasil-844-narrativas-moldam-o-mundo/
Café Brasil 843 – O nosso hino;https://portalcafebrasil.com.br/cafe-brasil-843-o-nosso-hino/
Café Brasil 842 – Nós contra eles;https://portalcafebrasil.com.br/cafe-brasil-842-nos-contra-eles/
Café Brasil 841 – Os arquitetos do mau;https://portalcafebrasil.com.br/cafe-brasil-841-os-arquitetos-do-mau/
Café Brasil 840 – O poder de contar histórias;https://portalcafebrasil.com.br/cafe-brasil-840-o-poder-de-contar-historias/
Café Brasil 839 – Como é duro trabalhar;https://portalcafebrasil.com.br/cafe-brasil-839-como-e-duro-trabalhar/
Café Brasil 838 – Merdades e Ventiras;https://portalcafebrasil.com.br/cafe-brasil-838-merdades-e-ventiras/
Café Brasil 837 – Calaboca, Chico;https://portalcafebrasil.com.br/cafe-brasil-837-calaboca-chico/
Café Brasil 836 – Escola Sem Partido;https://portalcafebrasil.com.br/cafe-brasil-836-escola-sem-partido/
Café Brasil 835 – O cilindro de Ciro;https://portalcafebrasil.com.br/cafe-brasil-835-o-cilindro-de-ciro/
Café Brasil 834 – A Lei de Gresham;https://portalcafebrasil.com.br/cafe-brasil-834-a-lei-de-gresham/
Café Brasil 833 – Rio, beleza e caos;https://portalcafebrasil.com.br/cafe-brasil-833-rio-beleza-e-caos/
Café Brasil 832 – Carta Aberta Ao Brasil – Revisitado;https://portalcafebrasil.com.br/cafe-brasil-832-carta-aberta-ao-brasil-revisitado/
Café Brasil 831 – Nossos problemas;https://portalcafebrasil.com.br/cafe-brasil-831-nossos-problemas/
Café Brasil 830 – Adultecer;https://portalcafebrasil.com.br/cafe-brasil-830-adultecer/
Café Brasil 829 – Treine a mente!;https://portalcafebrasil.com.br/cafe-brasil-829-treine-a-mente/
Café Brasil 828 – O catalisador;https://portalcafebrasil.com.br/cafe-brasil-828-o-catalisador/
Café Brasil 827 – A complicada arte de ver – Revisitado;https://portalcafebrasil.com.br/cafe-brasil-827-a-complicada-arte-de-ver-revisitado/
Café Brasil 826 – Os fatos? Ora, os fatos…;https://portalcafebrasil.com.br/cafe-brasil-826-os-fatos-ora-os-fatos/
Café Brasil 825 – Precisamos falar sobre o medo;https://portalcafebrasil.com.br/cafe-brasil-825-precisamos-falar-sobre-o-medo/
Café Brasil 824 – Choque de gerações;https://portalcafebrasil.com.br/cafe-brasil-824-choque-de-geracoes/
Café Brasil 823 – Dinheiro: rico sem, pobre com;https://portalcafebrasil.com.br/cafe-brasil-823-dinheiro-rico-sem-pobre-com/
Café Brasil 822 – Café ao Quadrado;https://portalcafebrasil.com.br/cafe-brasil-822-cafe-ao-quadrado/
Café Brasil 821 – O amor que nunca morre;https://portalcafebrasil.com.br/cafe-brasil-821-o-amor-que-nunca-morre/
Café Brasil 820 – My Generations;https://portalcafebrasil.com.br/cafe-brasil-820-my-generations/
Café Brasil 819 – Num sei por que tô tão feliz;https://portalcafebrasil.com.br/cafe-brasil-819-num-sei-por-que-to-tao-feliz/
Café Brasil 818 – A cultura do cancelamento;https://portalcafebrasil.com.br/cafe-brasil-818-a-cultura-do-cancelamento/
Café Brasil 817 – Exibicionismo Moral;https://portalcafebrasil.com.br/cafe-brasil-817-exibicionismo-moral/
Café Brasil 816 – Leve a sério e educação dos filhos;https://portalcafebrasil.com.br/cafe-brasil-816-leve-a-serio-e-educacao-dos-filhos/
Café Brasil 815 – Redes sociais: bem ou mal?;https://portalcafebrasil.com.br/cafe-brasil-815-redes-sociais-bem-ou-mal/
Café Brasil 814 – O Navio de Teseu;https://portalcafebrasil.com.br/cafe-brasil-814-o-navio-de-teseu/
Café Brasil 813 – No creo en brujas;https://portalcafebrasil.com.br/cafe-brasil-813-no-creo-en-brujas/
Café Brasil 812 – Agroecologia e Manipulação;https://portalcafebrasil.com.br/cafe-brasil-812-agroecologia-e-manipulacao/
Café Brasil 811 – O quinto elemento;https://portalcafebrasil.com.br/cafe-brasil-811-o-quinto-elemento/
Café Brasil 810 – Simpatia pelo Diabo – Revisitado;https://portalcafebrasil.com.br/cafe-brasil-810-simpatia-pelo-diabo-revisitado/
Café Brasil 809 – Ser Woke;https://portalcafebrasil.com.br/cafe-brasil-809-ser-woke/
Café Brasil 808 – Sobre caráter – revisitado;https://portalcafebrasil.com.br/cafe-brasil-808-sobre-carater-revisitado/
Café Brasil 807 – O demolidor;https://portalcafebrasil.com.br/cafe-brasil-807-o-demolidor/
Café Brasil 806 – Não recuse imitações – Revisitado;https://portalcafebrasil.com.br/cafe-brasil-806-nao-recuse-imitacoes-revisitado/
Café Brasil 805 – O Estupro da Mente;https://portalcafebrasil.com.br/cafe-brasil-805-o-estupro-da-mente/
Café Brasil 804 – Psicose de formação em massa;https://portalcafebrasil.com.br/cafe-brasil-804-psicose-de-formacao-em-massa/
Café Brasil 803 – Enquanto houver sol;https://portalcafebrasil.com.br/cafe-brasil-803-enquanto-houver-sol/
Café Brasil 802 – A Lei de Lindy;https://portalcafebrasil.com.br/cafe-brasil-802-a-lei-de-lindy/
Café Brasil 801 – Especial de Natal;https://portalcafebrasil.com.br/cafe-brasil-801-mensagem-de-natal/
Café Brasil 800 – The devil in my fingers;https://portalcafebrasil.com.br/cafe-brasil-800-the-devil-in-my-fingers/
Café Brasil 799 – Essa tal meritocracia;https://portalcafebrasil.com.br/cafe-brasil-799-essa-tal-meritocracia/
Café Brasil 798 – Raciocínios Perigosos – Revisitado;https://portalcafebrasil.com.br/cafe-brasil-798-raciocinios-perigosos-revisitado/
